proc_n,arr_size,time
2,100,0.000630
2,300,0.001375
2,500,0.002323
2,700,0.003015
2,900,0.003868
2,1100,0.004787
2,1300,0.004273
2,1500,0.003911
2,1700,0.003559
2,1900,0.003216
2,2100,0.003232
2,2300,0.003265
2,2500,0.003082
2,2700,0.003193
2,2900,0.003331
2,3100,0.003237
2,3300,0.003493
2,3500,0.003667
2,3700,0.003939
2,3900,0.004101
2,4100,0.004228
2,4300,0.004459
2,4500,0.004684
2,4700,0.004874
2,4900,0.005155
2,5100,0.005284
2,5300,0.005479
2,5500,0.005829
2,5700,0.007047
2,5900,0.008252
2,6100,0.009964
2,6300,0.007380
2,6500,0.008691
2,6700,0.007722
2,6900,0.008297
2,7100,0.008212
2,7300,0.008155
2,7500,0.008115
2,7700,0.008669
2,7900,0.008627
2,8100,0.008632
2,8300,0.009257
2,8500,0.009132
2,8700,0.009341
2,8900,0.009588
2,9100,0.009933
2,9300,0.010072
2,9500,0.010592
2,9700,0.010192
2,9900,0.010438
2,10100,0.010794
2,10300,0.010809
2,10500,0.011045
2,10700,0.011935
2,10900,0.011486
2,11100,0.011631
2,11300,0.011921
2,11500,0.012084
2,11700,0.012344
2,11900,0.012443
2,12100,0.012678
2,12300,0.013114
2,12500,0.013077
2,12700,0.013270
2,12900,0.013527
2,13100,0.013686
2,13300,0.013999
2,13500,0.014141
2,13700,0.014324
2,13900,0.014568
2,14100,0.016228
2,14300,0.015142
2,14500,0.015080
2,14700,0.015370
2,14900,0.015505
2,15100,0.015702
2,15300,0.016117
2,15500,0.016796
2,15700,0.016455
2,15900,0.016627
2,16100,0.017020
2,16300,0.016944
2,16500,0.017181
2,16700,0.017355
2,16900,0.017623
2,17100,0.018158
2,17300,0.018534
2,17500,0.018302
2,17700,0.018425
2,17900,0.018610
2,18100,0.019018
2,18300,0.019456
2,18500,0.019175
2,18700,0.019838
2,18900,0.020481
2,19100,0.019890
2,19300,0.020286
2,19500,0.020412
2,19700,0.020553
2,19900,0.020731
