proc_n,arr_size,time
1,100,0.000017
1,300,0.000050
1,500,0.000079
1,700,0.000136
1,900,0.000160
1,1100,0.000206
1,1300,0.000224
1,1500,0.000243
1,1700,0.000281
1,1900,0.000299
1,2100,0.000397
1,2300,0.000397
1,2500,0.000566
1,2700,0.000519
1,2900,0.000494
1,3100,0.000626
1,3300,0.000645
1,3500,0.000764
1,3700,0.000781
1,3900,0.000759
1,4100,0.001029
1,4300,0.000861
1,4500,0.001269
1,4700,0.001083
1,4900,0.001182
1,5100,0.001166
1,5300,0.001041
1,5500,0.001001
1,5700,0.000950
1,5900,0.001609
1,6100,0.001247
1,6300,0.000766
1,6500,0.000843
1,6700,0.001472
1,6900,0.000915
1,7100,0.000720
1,7300,0.000793
1,7500,0.000848
1,7700,0.001139
1,7900,0.001178
1,8100,0.000889
1,8300,0.001045
1,8500,0.000881
1,8700,0.001499
1,8900,0.000822
1,9100,0.000889
1,9300,0.000741
1,9500,0.000769
1,9700,0.000795
1,9900,0.000941
1,10100,0.001004
1,10300,0.000914
1,10500,0.001119
1,10700,0.000981
1,10900,0.000919
1,11100,0.000880
1,11300,0.001264
1,11500,0.000882
1,11700,0.000998
1,11900,0.000929
1,12100,0.001014
1,12300,0.001403
1,12500,0.000974
1,12700,0.001099
1,12900,0.001285
1,13100,0.000997
1,13300,0.001675
1,13500,0.001401
1,13700,0.001725
1,13900,0.001210
1,14100,0.001836
1,14300,0.001106
1,14500,0.001303
1,14700,0.001297
1,14900,0.001394
1,15100,0.001614
1,15300,0.002073
1,15500,0.001455
1,15700,0.001496
1,15900,0.001922
1,16100,0.001691
1,16300,0.002544
1,16500,0.001795
1,16700,0.001643
1,16900,0.001426
1,17100,0.001739
1,17300,0.001568
1,17500,0.004201
1,17700,0.002071
1,17900,0.001559
1,18100,0.002033
1,18300,0.002239
1,18500,0.002337
1,18700,0.001772
1,18900,0.002183
1,19100,0.001642
1,19300,0.002958
1,19500,0.001745
1,19700,0.002441
1,19900,0.001997
