proc_n,arr_size,time
4,100,0.001064
4,300,0.001952
4,500,0.002970
4,700,0.003764
4,900,0.004267
4,1100,0.004635
4,1300,0.004970
4,1500,0.005443
4,1700,0.004815
4,1900,0.005501
4,2100,0.005948
4,2300,0.006584
4,2500,0.007128
4,2700,0.007636
4,2900,0.008263
4,3100,0.008792
4,3300,0.009433
4,3500,0.009929
4,3700,0.010611
4,3900,0.011024
4,4100,0.011612
4,4300,0.012087
4,4500,0.012832
4,4700,0.013904
4,4900,0.013896
4,5100,0.014905
4,5300,0.015581
4,5500,0.015563
4,5700,0.016210
4,5900,0.016665
4,6100,0.018632
4,6300,0.017777
4,6500,0.018296
4,6700,0.019078
4,6900,0.019442
4,7100,0.020075
4,7300,0.020769
4,7500,0.022740
4,7700,0.021676
4,7900,0.022504
4,8100,0.022937
4,8300,0.023475
4,8500,0.024178
4,8700,0.024738
4,8900,0.025110
4,9100,0.025658
4,9300,0.026210
4,9500,0.026788
4,9700,0.027292
4,9900,0.027971
4,10100,0.028694
4,10300,0.028833
4,10500,0.029706
4,10700,0.030518
4,10900,0.031025
4,11100,0.031538
4,11300,0.032801
4,11500,0.033695
4,11700,0.042887
4,11900,0.037457
4,12100,0.034703
4,12300,0.034953
4,12500,0.037151
4,12700,0.036306
4,12900,0.042069
4,13100,0.038056
4,13300,0.038996
4,13500,0.038473
4,13700,0.039008
4,13900,0.041849
4,14100,0.040201
4,14300,0.041935
4,14500,0.041360
4,14700,0.043694
4,14900,0.043128
4,15100,0.042782
4,15300,0.043582
4,15500,0.043916
4,15700,0.045689
4,15900,0.045413
4,16100,0.045963
4,16300,0.046497
4,16500,0.046673
4,16700,0.048048
4,16900,0.048821
4,17100,0.049036
4,17300,0.050128
4,17500,0.050528
4,17700,0.050635
4,17900,0.051314
4,18100,0.051949
4,18300,0.053816
4,18500,0.053683
4,18700,0.053710
4,18900,0.054039
4,19100,0.054464
4,19300,0.057606
4,19500,0.058535
4,19700,0.056595
4,19900,0.056486
